point_id,lon,lat,target,city
GT8iSIX9,39.62951500000001,47.208802,0.3001440754291901,Ростов-на-Дону
7T3FujXu,39.67201,47.211275,0.8187852386555944,Ростов-на-Дону
ZgodVRqB,39.635721,47.21333,-1.0396789295723543,Ростов-на-Дону
p4OinUCs,39.690907,47.218739,-0.9532387357012868,Ростов-на-Дону
1qYX1KZb,39.710018,47.220297,-1.0396789295723543,Ростов-на-Дону
sgrEW5hG,39.716987,47.222272,-1.212559317314489,Ростов-на-Дону
B8K3Fzd0,39.7046,47.226000000000006,0.08404359075152168,Ростов-на-Дону
lvkMDIOb,39.628532,47.229281,0.08404359075152168,Ростов-на-Дону
9hCdPw1R,39.61052100000001,47.23059600000001,-0.30493728166828155,Ростов-на-Дону
49RGSbXb,39.762138,47.232181,0.3001440754291901,Ростов-на-Дону
CHtHXJLp,39.701709,47.234012,-0.13205689392614678,Ростов-на-Дону
lFH5jSIm,39.830557,47.238839,1.7480173227695688,Ростов-на-Дону
PIdoZHEy,39.764188,47.242109,-0.34815737860381524,Ростов-на-Дону
uFWtwbd5,39.713683,47.249262,0.3001440754291901,Ростов-на-Дону
ALeY6VVA,39.710881,47.249843,-0.17527699086168047,Ростов-на-Дону
mU5wwKjd,39.765401,47.254866,-1.1693392203789554,Ростов-на-Дону
SXJSzE6M,39.690447,47.260108,0.3001440754291901,Ростов-на-Дону
A2xt33Am,39.717178,47.281294,-0.6939181540880848,Ростов-на-Дону
YQ7ziyzt,39.715453,47.282521,-0.4345975724748826,Ростов-на-Дону
zaG5km8I,39.756131,47.282688,-0.0456167000550794,Ростов-на-Дону
O1UQUy36,39.713982,47.294783,-0.17527699086168047,Ростов-на-Дону
CEBFrSa4,50.0882,53.1224,5.7026561923709025,Самара
tkDyf0LP,50.173675,53.14038000000001,1.5967469834952008,городской округ Самара
6B6HHnCd,50.121798,53.187213,0.04082349381598799,городской округ Самара
Mk1D78ip,50.126074,53.187828,-1.1693392203789554,городской округ Самара
ZfB8GmX1,50.188602,53.191244,0.17048378462258906,городской округ Самара
f2EweR1h,50.188938,53.19136999999999,0.3865842693002575,городской округ Самара
WriLsZWE,50.191899,53.191447,0.8187852386555944,городской округ Самара
LwZsJ4Cy,50.190391,53.191808,0.9052254325266618,городской округ Самара
P2LhIYVH,50.123711,53.192857,0.9916656263977291,городской округ Самара
mZTEZ4bf,50.158969,53.197251,-0.26171718473274785,городской округ Самара
nfG8rj1F,50.140492,53.20338100000001,0.7755651417200607,городской округ Самара
2SKYY79M,50.246331,53.212183,3.239110667045481,Самара
myPybSTm,50.18180200000001,53.212513,-0.34815737860381524,городской округ Самара
bBxa5jY2,50.148747,53.217111,-0.4778176694104163,городской округ Самара
3uG2b8Ye,50.263857,53.218848,2.634029309948009,Самара
Ccqm3lC6,50.262682,53.220259,3.1094503762388803,городской округ Самара
H1tR9t1s,50.2633,53.22044399999999,0.12726368768705534,городской округ Самара
b3PCdEll,50.2764,53.233532,2.5043690191414085,Самара
FS7Ufln2,50.21569,53.239159,0.3865842693002575,городской округ Самара
7KGXXWOd,50.248918,53.24535600000001,0.25692397849365645,городской округ Самара
sMvuaVtL,50.22169,53.24867,0.9484455294621956,городской округ Самара
aooa1N95,50.238669,53.251547,0.04082349381598799,городской округ Самара
fI0HvX5p,50.225666,53.25928100000001,0.3001440754291901,городской округ Самара
